	SC0	Q2	Duration (in seconds)	Music Training Index (max =49)	Student ID	Age	Gender
3	5	s4603478	303	38	s1034694	27	Male
4	15	s1042459	392	36	s1047701	22	Female
5	9	s1047701	316	9	s4715098	21	Male
6	10	s4715098	225	20	s4349792	25	Male
7	12	s4349792	192	9	s1057570	23	Male
8	16	s1057570	647	9	u179070	63	Male
9	12	s1019474	377	9	s1019474	28	Male
10	13	u179070	412	22	s1028966	22	Female
11	13	s1028966	267	9	s1041699	23	Female
12	15	s4607112	370	35	s1040779	26	Male
13	13	s1041699	364	34	s4805542	20	Male
14	16	s1040779	398	38	s4807014	23	Male
15	10	s4805542	480	38	S4497031	24	Male
16	13	s44970331	421	28	s4607112	23	Male
17	12	s1014974	340	26	s1014974	25	Female
18	11	s4490703	460	27	s4490703	24	Male
19	12	s4332199	636	14	s4332199	24	Female
